Qualification,East Khasi Hills,West Khasi Hills,South West Khasi Hills,West Garo Hills,East Garo Hills,South Garo Hills,South West Garo Hills,North Garo Hills,West Jaintia Hills,East jaintia Hills,Ri Bhoi
BBBT-ADV-MECHANICAL MAINTENANCE FOR AUTOMATION,1,0,0,0,0,0,0,0,0,0,0
Cert-MIDWIFE,5,0,0,0,0,0,0,0,0,0,0
Cert-CARPENTER,1,0,0,0,0,0,0,0,0,0,0
BBBT-SM-MECHANIC AUTOMOBILE(ADV PETROL ENGINE),1,0,0,0,0,0,0,0,0,0,0
SM-APP-MECHANIC AUTOMOBILE(ADV PETROL ENGINE),1,0,0,0,0,0,0,0,0,0,0
Cert-COMPUTER,8,0,0,0,0,0,0,0,0,1,0
MS-CIT,3,0,0,0,0,0,0,0,0,0,0
Cert-COMPUTER HARDWARE & NETWORKING,3,1,0,1,0,0,0,0,0,0,0
Cert-D.T.P & PAGE MAKER,1,0,0,0,0,0,0,0,0,0,0
Cert-DRESS MAKING,1,0,0,0,0,0,0,0,0,0,0
Cert-LIBRARY SCIENCE,1,0,0,0,0,0,0,0,0,0,0
Cert-TAILORING,2,0,0,0,0,0,0,0,0,0,0
Cert-ENTERPREROUNER DEVELOPMENT TRAINING,1,0,0,0,0,0,0,0,0,0,0
Cert-LABORATORY TECHNIQUES-CPLT,4,0,0,0,0,0,0,0,0,0,0
Cert-NUTRITION & CHILD CARE,1,0,0,0,0,0,0,0,0,0,0
Cert-SANITARY INSPECTOR,9,0,0,0,0,0,0,0,0,0,0
Cert-PLUMBING,1,0,0,0,0,0,0,0,0,0,0
B.Fashion Design/ BBBT-ADV-FASHION DESIGNING,1,0,0,0,0,0,0,0,0,0,0
Cert-PSYCHOLOGY & EDUCATION OF HANDICAP CHILDREN,2,0,0,0,0,0,0,0,0,0,0
Cert-X-RAY TECHNICIAN,1,0,0,0,0,0,0,0,0,0,1
Cert-SPORTS,3,0,0,0,0,0,0,0,0,0,0
Cert-STENOGRAPHY,1,0,0,0,0,0,0,0,0,0,0
Cert-FIRE FIGHTING,1,0,0,0,0,0,0,0,0,0,0
Cert-HOTEL MANAGEMENT COURSE,1,1,0,0,0,0,0,0,0,0,0
Cert-TOURISM COURSE,3,0,0,0,0,0,0,0,0,0,0
Cert-TOURISM & TRAVEL AGENCY,5,0,0,0,0,0,0,0,0,0,0
Cert-COOK,2,0,0,0,0,0,0,0,0,0,0
Cert-WIRE MAN,1,0,0,0,0,0,0,0,0,0,0
Cert-ARCH. DRAUGHTSMAN,1,0,0,0,0,0,0,0,0,0,0
Dip-AGRICULTURE ENGG,1,0,0,0,0,0,0,0,0,0,0
Cert-MACHINIST,3,0,0,0,0,0,0,0,0,0,0
Dip-HOTEL MGMT,9,0,0,0,0,0,0,0,0,1,0
PG Dip-HOSPITAL ADMINISTRATION,1,0,0,0,0,0,0,0,0,0,0
Dip-COMPUTER SC. & ENGG,112,0,0,5,0,0,0,0,0,0,2
Dip-CRIMINOLOGY,0,0,0,0,0,0,0,0,1,0,0
Dip-COMPUTER SC. & TECHGY,1,0,0,0,0,0,0,0,0,0,0
I.C.W.A.,1,0,0,0,0,0,0,0,0,0,0
Dip-FASHION DESIGNING,12,0,0,0,0,0,0,0,1,0,0
PG Dip-Advt.& Mktg.,1,0,0,0,0,0,0,0,0,0,0
D.Ed.,88,13,0,0,0,0,0,0,2,0,3
D.ED.DEAF/DUMB TEACHER,1,0,0,0,0,0,0,0,0,0,0
DRESS DESIGNING AND GARMENT MFG,2,0,0,0,0,0,0,0,3,0,0
Dip-MEDICAL ELECTRONICS,13,0,0,0,0,0,0,0,1,0,0
Dip-ELECTRONICS AND TELECOMMUNICATION,18,0,0,2,0,0,0,0,1,0,1
Dip-AGRICULTURE,2,1,0,0,0,0,0,0,1,0,0
Dip-AUTOMOBILE ENGG,30,1,0,0,0,0,0,0,8,2,2
Dip-OTHER CIVIL ENGG,1,0,0,0,0,0,0,0,0,0,0
Dip-CHEMICAL ENGG,1,0,0,1,0,0,0,0,0,0,0
Dip-ELECTRICAL POWER ENGG,1,0,0,0,0,0,0,0,0,0,1
Dip-FOOD & BEVERAGES ENGG,2,0,0,0,0,0,0,0,0,0,0
Dip-ELECTRONICS ENGG,120,0,0,2,0,0,0,0,4,0,3
Diploma in Mechanical Engineering,117,3,0,1,0,0,0,0,3,2,4
Dip-INDUSTRIAL ELECTRONIC ENGG,3,0,0,0,0,0,0,0,0,0,0
Dip-PRINTING TECHNOLOGY,4,0,0,0,0,0,0,0,0,0,0
Dip-Painting.,1,0,0,0,0,0,0,0,0,0,0
Dip-Food Production,1,0,0,0,0,0,0,0,0,0,0
Diploma Handloom & Textile,1,0,0,0,0,0,0,0,0,0,0
Dip- OT Technology,1,0,0,0,0,0,0,0,0,0,0
Dip-COURSE IN MEDICAL RADIOGRAPHY,0,0,0,0,0,0,0,0,0,1,0
PG Dip-INFORMATION TECHNOLOGY,1,0,0,0,0,0,0,0,0,0,0
Dip-ELECTRICAL ENGG ELECTRICAL & POWER,1,2,0,0,0,0,0,0,0,0,0
Dip-ELECTRICAL ENGG,12,0,0,0,0,0,0,0,0,0,0
Dip-COUNSELLING,1,0,0,0,0,0,0,0,0,0,0
Dip-ELECTRONICS & COMM ENGG,18,0,0,1,0,0,0,0,2,0,0
Dip-CIVIL ENGG.,298,10,0,4,0,0,0,0,4,2,5
Dip-FRUIT PRODUCTION,3,0,0,0,0,0,0,0,0,0,0
D.El.Ed-Middle school Teacher,11,0,0,0,0,0,0,0,0,0,0
D.El.Ed-Primary school teacher,5,0,0,0,0,0,0,0,0,0,0
Dip-INFORMATION TECHGY,5,0,0,1,0,0,0,0,0,0,0
Dip-JOURNALISM & MASS COMMUNICATION,1,0,0,0,0,0,0,0,0,0,0
D.M.L.T.,79,1,0,0,0,0,1,0,13,5,5
Dip-MARKETING MANAGEMENT,1,0,0,0,0,0,0,0,0,0,0
D.ED.MENTAL RETARDED TEACHER,0,1,0,0,0,0,0,0,0,0,0
Auxiliary Nurse Midwife (ANM),26,1,0,0,0,0,0,0,2,0,0
Dip-MECHANICAL ENGG. SANDWICH,12,0,0,0,0,0,0,0,1,1,1
Dip-MEDICAL PSYCHOLOGICAL MEDICINE,0,0,0,0,0,0,0,0,1,0,0
Dip-GENERAL NURSING & MIDWIFERY,138,7,0,0,0,0,0,0,17,6,2
Dip-MEDICAL RADIO-ISOTOPE TECHNIQUE D.M.R.I.T,1,0,0,0,0,0,0,0,0,0,0
Dip-MEDICAL RADIOLOGY,3,0,0,0,0,0,0,0,0,0,0
Dip-MEDICAL RADIOLOGY & ELECTROLOGY.D.M.R.E,2,0,0,0,0,0,0,0,0,0,0
Dip-MGMT STUDIES,1,0,0,0,0,0,0,0,0,0,0
DIP-PHARMACY.,10,0,0,1,0,0,0,0,5,1,0
Dip-NEONATAL NURSING,5,0,0,0,0,0,0,0,0,0,0
Dip-X-RAY TECHNICIAN,3,1,0,0,0,0,0,0,2,0,0
Dip-OPERATION ROOM TECHNIQUE,3,0,0,0,0,0,0,0,0,0,0
Dip-BIO-MEDICAL ENGG.,2,0,0,0,0,0,0,0,0,0,0
Dip-TEACHER (Dip.T.),7,8,0,0,0,0,0,0,0,1,0
Dip-PAINTS,3,0,0,0,0,0,0,0,0,0,0
Dip-PHARMACEUTICAL & FINE CHEMICALS,4,0,0,0,0,0,0,0,0,0,0
Dip-HINDI TRANSLATION,1,0,0,0,0,0,0,0,0,0,0
Dip-RADIOLOGICAL PHYSICS,2,0,0,0,0,0,0,0,0,0,0
Dip-REDIO THERAPY,4,0,0,0,0,0,0,0,0,0,0
Dip in GERMAN,0,0,0,0,0,0,0,0,1,0,0
Dip-TEXTILE MGMT & MARKETING,0,0,0,0,0,0,0,0,1,0,0
Dip-TOURISM & TRAVEL INDUSTRY MGMT,4,0,0,0,0,0,0,0,0,0,0
Dip-TOURISM STUDIES-DTS,1,0,0,0,0,0,0,0,0,0,0
DIP-INSTRUMENTATION,1,0,0,0,0,0,0,0,0,0,0
STENO/TYPIST ENGLISH,162,0,1,2,0,0,0,0,2,0,1
TYPING ENGLISH,11,0,0,0,0,0,0,0,0,0,1
Foundation Course Special Education,2,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-CIVIL & WATER MGMT ENGG,1,0,0,0,0,0,0,1,0,0,0
B.E./B.Tech - WATER RESOURCE ENGG,11,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-MECHANICAL ENGG. SANDWITCH,2,0,0,0,0,0,0,0,0,0,0
B.C.G./B.J.,4,0,0,0,0,0,0,0,0,0,0
B.S.W.,162,4,0,0,0,0,0,0,17,6,6
B.Ed. HANDICAPPED,1,0,0,0,0,0,0,0,0,0,0
B.C.S./B.Sc.-COMPUTER SCI.,27,2,0,3,1,0,0,2,20,11,8
B.C.A.,373,7,0,0,0,0,0,0,17,21,6
B.Ed. HEARING IMPAIRED,1,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-BIO-TECH ENGG,5,0,0,0,0,0,0,0,1,0,1
B.E./B.Tech-ELECTRONICS PRODUCT DESIGN TECH,1,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-FASHION TECHNOLOGY.,0,0,0,0,0,0,0,0,1,0,0
B.A. - Graduates,7033,520,0,80,23,0,27,15,623,489,248
B.A. Additional 1,6,0,0,0,0,0,0,0,0,0,0
B.A. Additional 4,1,0,0,0,0,0,0,0,0,0,0
B.A. Additional 5,4,1,0,0,0,0,0,0,0,0,0
B.E./B.Tech-INFORMATION TECHNOLOGY,30,0,0,1,0,0,0,0,1,3,0
B.Ed. BLIND TEACHER,1,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-INSTRUMENTATION,1,0,0,0,0,0,0,0,0,0,0
B.Com. - Graduates,1706,35,0,19,1,0,2,2,50,37,46
B.Com. Additional 1,15,0,1,0,0,0,0,0,0,0,0
B.C.M.,1,0,0,0,0,0,0,0,0,2,0
B.Ed-Arts,224,26,0,1,0,0,1,1,21,5,3
N/A Old Qualification (B.E./B.Tech.),10,1,0,2,0,0,1,0,3,7,0
B.Lib,1,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-AUTOMOBILE,5,0,0,0,0,0,0,0,2,0,0
B.E./B.Tech-ARCHITECT.,5,0,0,0,0,0,0,0,1,0,0
B.E./B.Tech-AGRIL ENGG,15,0,0,0,0,0,0,0,1,0,0
B.E./B.Tech-CHEMICAL,3,0,0,1,0,0,0,0,0,0,0
B.E./B.Tech-COMPUTER,78,0,0,2,0,0,1,0,1,0,2
B.E./B.Tech-FOOD TECHNOLOGY.,6,0,0,1,0,0,0,0,0,0,0
B.H.M.C.T.,2,0,0,0,0,0,0,0,0,0,0
A.M.I.E.-MECHANICAL,0,0,0,0,0,0,0,0,0,0,1
B.E./B.Tech-ELECTRONICS.,58,0,0,2,0,0,0,0,3,0,2
B.E./B.Tech-OTHERS MECHANICAL ENGR,1,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-MECHANICAL.,38,1,0,2,1,0,0,0,1,0,3
B.E./B.Tech-PRINTING TECHNOLOGY,1,0,0,0,0,0,0,0,0,0,0
A.M.I.E.-ELECTRONICS & TELECOM,1,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-TEXTILE ENGG,2,0,0,0,0,0,0,0,0,0,0
B.E./B Tech Electronics & Communication/B Tech Electronics & Telecommunication.,78,0,0,1,1,0,0,0,0,0,0
B.E./B.Tech-A.C.& REFRI,1,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-AERONAUTICAL,3,0,0,0,0,0,0,0,0,0,0
BE Electrical/BE Electrical & Electronics/B Tech Electrical/ B Tech Electrical & Electronics.,81,1,0,0,0,0,0,0,2,0,1
A.M.I.E.-CIVIL,0,1,0,0,0,0,0,0,0,0,0
B.E./B.Tech-DAIRY TECHNOLOGY,5,0,0,0,0,0,0,0,2,0,0
B.E./B.Tech-CIVIL,163,2,0,0,0,0,0,0,3,1,4
L.L.B.,48,1,0,0,0,0,0,0,2,1,0
G.D.ART-SCULPTURE,1,0,0,0,0,0,0,0,0,0,0
M.B.B.S.,3,0,0,0,0,0,0,0,0,0,0
B.M Tech-B.Sc.(Applied),2,0,0,0,0,0,0,0,1,1,0
BACHELOR OF OCCUPATIONAL THERAPY,0,0,0,0,0,0,0,0,0,0,1
B.C.J.,4,0,0,0,0,0,0,0,0,0,2
B.Pharm.,27,1,0,1,1,0,0,0,5,0,0
B.Homeopathy & Medical Sc,9,0,0,1,0,0,0,0,5,0,0
B.D.S.,13,0,0,0,0,0,0,0,0,0,2
BSc. Additional 1,2,0,0,0,0,0,0,0,0,0,0
BSc. Graduates,1437,42,0,4,2,0,0,0,78,50,36
B.Sc.-AGRICULTURE,37,1,0,2,0,0,0,0,11,1,0
B.Sc.-APPLIED SCIENCE,4,1,0,0,0,0,0,0,0,1,1
B.Sc.-FORESTRY,29,0,0,3,0,0,0,0,10,1,0
B.Sc.-HORTICULTURE,12,0,0,0,0,0,0,0,2,0,1
B.Sc.-HOME SCIENCE,33,0,0,0,0,0,0,0,1,0,0
B.Sc.-INFORMATION TECHNOLOGY,43,1,0,0,0,0,0,0,3,6,2
B.V.Sc.,2,0,0,0,0,0,0,0,1,0,0
BACHELOR OF PHYSICAL EDUCATION,17,1,0,0,0,0,0,0,0,0,0
STENO/TYPIST HINDI,2,0,0,0,0,0,0,0,0,0,0
Dip-HUMAN RESOURCE MANAGEMENT,1,0,0,0,0,0,0,0,0,0,0
HSSLC- Vocational,0,2,0,0,0,0,0,0,0,0,0
TYPING HINDI,2,0,0,0,0,0,0,0,0,0,0
ITI-INFORMATION TECHNOLOGY,8,0,0,0,0,0,0,0,0,0,0
ITI-WELDER-ELECTRIC,2,0,0,0,0,0,0,0,0,0,0
ITI-FOOD PRESERVATION,2,0,0,0,0,0,0,0,0,0,0
ITI-NETWORK TECHNICIAN,1,0,0,0,0,0,0,0,0,0,0
ITI-STENO ENGLISH,79,0,0,0,0,0,0,0,0,0,0
ITI-TAILORING AND CUTTING,1,0,0,0,0,0,0,0,0,0,0
ITI-TAILOR-GENERAL,1,0,0,0,0,0,0,0,0,0,0
ITI-FITTER,19,0,0,0,0,0,0,0,0,0,0
ITI-TURNER,1,0,0,0,0,0,0,0,0,0,0
ITI-MACHINIST,34,0,0,0,0,0,0,0,0,0,1
ITI-WELDER,14,0,0,0,0,0,0,0,0,0,0
ITI-ELECTRICIAN,145,1,0,1,0,0,0,0,0,1,0
ITI-WIREMAN,48,1,0,0,0,0,0,0,0,1,1
ITI-AUTO ELECTRICIAN,1,0,0,0,0,0,0,0,0,0,0
ITI-PLUMBER,42,0,0,1,0,0,0,0,0,0,1
ITI-CARPENTER,8,0,0,0,0,0,0,0,0,0,0
ITI-REFRIGERATOR & AIR CONDITIONING,1,0,0,0,0,0,0,0,0,0,0
ITI Motor Mechanic,55,0,0,0,0,0,0,0,1,0,1
ITI-CIVIL DRAUGHTSMAN,78,1,0,0,0,0,0,0,0,0,1
ITI-CIVIL SURVEYOR,34,0,0,0,0,0,0,0,0,0,0
ITI-COMPUTER,3,0,0,0,0,0,0,0,0,0,0
ITI-COMPUTER-COPA,2,0,0,0,0,0,0,0,0,0,0
ITI-DESK TOP PUBLISHING OPERATOR,19,0,0,0,0,0,0,0,0,0,0
ITI-PAINTER,1,0,0,0,0,0,0,0,0,0,0
ITI-HAIR & SKIN CARE,1,1,0,0,0,0,0,0,0,0,0
ITI-BEAUTICIAN,1,0,0,0,0,0,0,0,0,0,0
ITI-DRESS MAKER,30,0,0,0,0,0,0,0,0,0,0
ITI-ELECTRONICS,3,0,0,0,0,0,0,0,0,0,0
ITI-EMBROIDERY & NEEDLE WORK,1,0,0,0,0,0,0,0,0,0,0
ITI-AUTO MECHANIC-TWO & THREE WHEELER,1,0,0,0,0,0,0,0,0,0,0
ITI-FOOD & VEGETABLE PROCESSING,1,0,0,0,0,0,0,0,0,0,0
ITI-MECHANIC MARINE DIESEL ENGINE,2,0,0,0,0,0,0,0,0,0,0
ITI-RADIO & TV MECHANIC,28,0,0,0,0,0,0,0,0,0,0
ITI-IT&ESM,1,0,0,0,0,0,0,0,0,0,0
MASTER OF PERFORMING ARTS,2,0,0,0,0,0,0,0,0,0,0
MA-Nutrition,1,0,0,0,0,0,0,0,0,0,0
MA-Public Admn,1,0,0,0,0,0,0,0,0,0,0
M.A.(RURAL DEVELOPMENT),1,0,0,0,0,0,0,0,0,0,0
M.B.A.,221,6,0,0,0,0,0,0,6,7,4
MBA-Finance,1,0,0,0,0,0,0,0,0,0,0
MASTER OF DRAMATICS,1,0,0,0,0,0,0,0,0,0,0
MASTER OF DESIGN-PRODUCT DESIGN,1,0,0,0,0,0,0,0,0,0,0
MASTER OF HOSPITAL ADMINISTRATION,1,0,0,0,0,0,0,0,0,0,0
ME Water Resources/M Tech water Resource Engg,2,0,0,0,0,0,0,0,0,0,0
MASTER IN HUMAN RESOURCE DEV & MGMT,2,0,0,0,0,0,0,0,0,0,0
MASTER OF MARKETING MANAGEMENT,3,0,0,2,0,0,0,0,0,0,3
MASTER OF PHYSIO-THERAPY,2,0,0,0,0,0,0,0,0,0,0
MSc-Applied Geography and Geoinformatics,2,0,0,0,0,0,0,0,0,0,0
MSc-Microbiology,1,0,0,0,0,0,0,0,0,0,0
M.S.W.-Public Health,4,0,0,0,0,0,0,0,0,0,0
M.S.W. - Child Welfare,9,0,0,0,0,0,0,0,0,0,0
MASTER OF TOURISM ADMINISTRATION,14,0,0,1,0,0,0,0,1,0,0
M Tech Civil Engg,7,0,0,0,0,0,0,0,0,0,0
M Tech-Remote Sensing & GIS,1,0,0,0,0,0,0,0,0,0,0
NCTVT-ELECTRICAL FITTER,0,0,0,0,0,0,0,0,0,0,1
DNB-RADIOLOGY,1,0,0,0,0,0,0,0,1,0,0
DNB-PHYSIOLOGY,1,0,0,0,0,0,0,0,0,0,0
NCTVT-ELECTRICIAN,0,1,0,0,0,0,0,0,0,0,1
NCTVT-SURVEYOR,0,1,0,0,0,0,0,0,1,0,0
NCTVT-DESK TOP PUBLISHING OPEATOR,2,0,0,0,0,0,0,0,0,0,0
NCTVT-ELECTRONICS,1,0,0,0,0,0,0,0,0,0,0
NCTVT-INDUSTRIAL ELECTRONICS,1,0,0,0,0,0,0,0,0,0,0
